cod_ibge,ano,mes,tipo_unidade,estabelecimentos
1702158,2022,12,68,1
1702158,2022,12,2,3
1702158,2022,12,39,1
1702158,2023,12,1,1
1702158,2023,12,2,3
1702158,2023,12,39,1
1702158,2023,12,36,1
1702158,2023,12,68,1
1702158,2023,12,74,1
1702158,2023,12,50,1
1702158,2024,12,68,1
1702158,2024,12,1,1
1702158,2024,12,36,1
1702158,2024,12,2,3
1702158,2024,12,50,1
1702158,2024,12,39,1
1702158,2024,12,74,1
1702208,2019,12,70,2
1702208,2019,12,5,1
1702208,2019,12,50,2
1702208,2019,12,22,4
1702208,2019,12,1,3
1702208,2019,12,68,1
1702208,2019,12,2,7
1702208,2019,12,39,5
1702208,2020,12,70,2
1702208,2020,12,50,2
1702208,2020,12,39,5
1702208,2020,12,5,1
1702208,2020,12,22,4
1702208,2020,12,68,1
1702208,2020,12,84,1
1702208,2020,12,1,3
1702208,2020,12,2,10
1702208,2021,12,1,2
1702208,2021,12,22,5
1702208,2021,12,50,2
1702208,2021,12,5,1
1702208,2021,12,2,11
1702208,2021,12,32,1
1702208,2021,12,68,1
1702208,2021,12,84,1
1702208,2021,12,70,2
1702208,2021,12,39,5
1702208,2022,12,70,2
1702208,2022,12,32,1
1702208,2022,12,68,1
1702208,2022,12,1,2
1702208,2022,12,39,5
1702208,2022,12,2,10
1702208,2022,12,50,2
1702208,2022,12,5,1
1702208,2022,12,22,5
1702208,2022,12,84,1
1702208,2023,12,5,1
1702208,2023,12,84,1
1702208,2023,12,22,6
1702208,2023,12,2,10
1702208,2023,12,32,1
1702208,2023,12,36,1
1702208,2023,12,68,1
1702208,2023,12,50,2
1702208,2023,12,39,5
1702208,2023,12,1,2
1702208,2023,12,70,2
1702208,2024,12,39,5
1702208,2024,12,2,11
1702208,2024,12,68,1
1702208,2024,12,84,1
1702208,2024,12,50,2
1702208,2024,12,70,2
1702208,2024,12,36,1
1702208,2024,12,5,1
1702208,2024,12,22,7
1702208,2024,12,1,1
1702307,2019,12,2,1
1702307,2019,12,50,1
1702307,2019,12,68,1
1702307,2019,12,5,1
1702307,2019,12,39,1
1702307,2020,12,68,1
1702307,2020,12,50,1
1702307,2020,12,5,1
1702307,2020,12,2,1
1702307,2020,12,39,1
1702307,2021,12,2,1
1702307,2021,12,68,1
1702307,2021,12,50,1
