cod_ibge,ano,rede,ensino,ideb,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa
1701002,2013,estadual,fundamental,5.2,94.6,0.95927799,210.85,191.46
1701002,2013,municipal,fundamental,4.5,98.7,0.98586398,183.39,170.8
1701002,2013,publica,fundamental,3.8,83.8,0.83755797,240.0,232.8
1701002,2013,publica,fundamental,5.1,97.8,0.97840297,201.94,184.75
1701002,2015,estadual,fundamental,4.3,90.7,0.90712601,241.3,243.05
1701002,2015,estadual,fundamental,5.9,96.5,0.96499997,227.94,211.76
1701002,2015,municipal,fundamental,5.0,95.1,0.94701099,204.23,189.34
1701002,2017,estadual,fundamental,4.7,94.1,0.93989497,246.27,253.96
1701002,2017,estadual,fundamental,,,,,
1701002,2017,estadual,medio,3.1,76.5,0.76226097,263.48,248.22
1701002,2017,municipal,fundamental,5.1,96.4,0.96194702,200.33,193.3
1701002,2017,publica,fundamental,4.7,94.1,0.93989497,246.27,253.96
1701002,2017,publica,fundamental,5.1,96.4,0.96194702,200.33,193.3
1701002,2017,publica,medio,3.1,76.5,0.76226097,263.48,248.22
1701002,2019,estadual,fundamental,,,,,
1701002,2019,estadual,fundamental,4.5,93.4,0.93434399,244.83,245.28
1701002,2019,estadual,medio,3.1,73.4,0.74441898,261.51,258.01
1701002,2019,municipal,fundamental,5.2,95.4,0.95248598,207.72,196.39
1701002,2019,publica,fundamental,4.5,93.4,0.93434399,244.83,245.28
1701002,2019,publica,fundamental,5.2,95.4,0.95248598,207.72,196.39
1701002,2019,publica,medio,3.1,73.4,0.74441898,261.51,258.01
1701002,2021,estadual,fundamental,,,,,
1701002,2021,estadual,fundamental,4.7,98.9,0.987127,244.06,244.6
1701002,2021,estadual,medio,3.2,78.1,0.782637,255.09,251.42
1701002,2021,municipal,fundamental,4.7,97.8,0.980057,187.0,180.83
1701002,2021,publica,fundamental,4.7,98.9,0.987127,244.06,244.6
1701002,2021,publica,fundamental,4.7,97.8,0.980057,187.0,180.83
1701002,2021,publica,medio,3.2,78.1,0.782637,255.09,251.42
1701002,2023,estadual,fundamental,,,,,
1701002,2023,estadual,fundamental,4.7,97.2,0.970578,244.27,249.07
1701002,2023,estadual,medio,3.8,90.8,0.904856,262.21,256.65
1701002,2023,municipal,fundamental,5.7,97.1,0.964123,220.98,204.44
1701002,2023,publica,fundamental,4.7,97.2,0.970578,244.27,249.07
1701002,2023,publica,fundamental,5.7,97.1,0.964123,220.98,204.44
1701002,2023,publica,medio,3.8,90.8,0.904856,262.21,256.65
1701051,2009,estadual,fundamental,3.5,80.2,0.81833798,230.47,223.94
1701051,2009,estadual,fundamental,4.3,93.1,0.936306,182.11,171.35
1701051,2009,municipal,fundamental,,,,,
1701051,2009,municipal,fundamental,,94.8,0.94984502,,
1701051,2009,publica,fundamental,3.6,82.4,0.839701,230.47,223.94
1701051,2009,publica,fundamental,4.3,94.3,0.94509602,182.11,171.35
1701051,2011,estadual,fundamental,4.9,90.7,0.90529197,213.05,183.63
1701051,2011,estadual,fundamental,3.5,78.3,0.78748298,244.36,224.03
1701051,2011,municipal,fundamental,,,,,
1701051,2011,municipal,fundamental,4.4,93.4,0.94256198,184.28,175.97
1701051,2011,publica,fundamental,4.7,92.5,0.93221402,198.36,179.72
1701051,2011,publica,fundamental,3.5,78.5,0.78885603,244.36,224.03
1701051,2013,estadual,fundamental,,,,,
1701051,2013,estadual,fundamental,3.2,76.1,0.768538,229.58,221.47
1701051,2013,municipal,fundamental,,,,,
1701051,2013,municipal,fundamental,4.6,96.6,0.96414298,190.27,173.47
1701051,2013,publica,fundamental,3.3,78.0,0.78700501,229.58,221.47
1701051,2013,publica,fundamental,4.6,96.6,0.96414298,190.27,173.47
1701051,2015,estadual,fundamental,,,,,
1701051,2015,estadual,fundamental,3.1,69.6,0.67628199,240.31,230.67
1701051,2015,municipal,fundamental,,,,,
