cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,munic,pib10_1000,pib11_1000,pib12_1000,pib13_1000,pib14_1000,pib15_1000,pib16_1000,pcap_2010,pcap_2011,pcap_2012,pcap_2013,pcap_2014,pcap_2015,pcap_2016
1720655,Silvanópolis,108-Silvanópolis,Outros,Menor impacto re,XIII,,<Null>,1988,1259,4974,4725,5098,5250,5299,,5º BPM - Porto Nacional,5º BPM,Porto Nacional,17006,5071,Dianópolis,93,Região Metropolitana de Palmas,1258.824,Sem Região,Área-Programa Central,VI,Silvanópolis,46899.994,73931.051,81054.589,78217.175,104921.812,114823.384,115055.071,9248.67,14510.51,15830.97,14788.65,19729.56,21482.39,21417.55
1703701,Brejinho de Nazaré,64-Brejinho de Nazaré,Outros,Menor impacto re,IX,,<Null>,1958,1724,5932,4877,5295,5452,5506,OMCO-Organização Municipios do Centro Oeste,5º BPM - Porto Nacional,5º BPM,Gurupi,17005,5181,Palmas,90,Região Metropolitana de Palmas,1724.441,Serras e Lago,Área-Programa Central,VI,Brejinho de Nazaré,48612.395,64337.429,68074.046,77798.563,89373.628,95908.502,89586.312,9370.16,12351.21,13011.09,14407.14,16471.37,17594.66,16362.8
1718899,Santa Rita do Tocantins,94-Santa Rita Tocantins,Javaés,Menor impacto re,XI,,<Null>,1997,3275,0,1852,2260,2330,2377,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Gurupi,17005,2124,Paraíso do Tocantins,89,Região Metropolitana de Gurupi,3274.93,Sem Região,Área-Programa Central,VI,Santa Rita do Tocantins,22945.922,24764.432,28556.006,32596.045,41866.695,46002.912,49723.684,10782.86,11518.34,13159.45,14455.01,18378.71,20001.27,21414.16
1707553,Fátima,65-Fátima,Outros,Menor impacto re,IX,,<Null>,1983,383,4219,3848,3984,4101,4123,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,3805,Palmas,88,Região Metropolitana de Palmas,382.908,Sem Região,Área-Programa Central,VI,Fátima,33906.04,37425.107,37691.222,43961.347,52263.131,60454.135,60585.163,8910.92,9843.53,9921.35,11295.31,13438.71,15556.91,15606.69
1715507,Oliveira de Fátima,70-Oliveira de Fátima,Outros,Menor impacto re,IX,,<Null>,1997,206,0,958,1081,1114,1129,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,1035,Palmas,87,Região Metropolitana de Palmas,205.849,Sem Região,Área-Programa Central,VI,Oliveira de Fátima,11237.551,12234.363,14045.352,17282.708,18135.972,18408.306,18500.656,10857.54,11718.74,13389.28,15928.76,16623.26,16765.31,16757.84
1711902,Lagoa da Confusão,87-Lagoa da Confusão,Javaés,Menor impacto re,XI,,<Null>,1993,10565,4956,6168,8220,8481,8711,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,9971,Paraíso do Tocantins,102,Região Metropolitana de Gurupi,10564.512,Ilha do Bananal,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Lagoa da Confusão,170220.104,204658.162,260997.856,329551.678,447045.452,454390.046,468635.218,16663.74,19452.35,24119.57,28594.51,37696.72,37294,37487.82
1706100,Cristalândia,85-Cristalândia,Javaés,Menor impacto re,XI,,<Null>,1953,1848,8670,7318,6520,6698,6628,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,7165,Paraíso do Tocantins,103,Região Metropolitana de Gurupi,1848.231,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Cristalândia,54392.683,61108.878,67724.527,82712.095,86668.277,98548.866,113432.095,7535.7,8454.47,9377.53,11178.82,11723.02,13342.66,15370.2
1715002,Nova Rosalândia,90-Nova Rosalândia,Outros,Menor impacto re,XI,,<Null>,1988,489,3591,3190,3772,3888,3956,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,3770,Paraíso do Tocantins,79,Região Metropolitana de Gurupi,488.636,Sem Região,Área-Programa Centro-Oeste,V,Nova Rosalândia,22874.496,24673.635,27753.274,30301.198,38696.32,40682.904,49938.834,6067.51,6467.53,7193.69,7541.36,9517.05,9891.3,12007.41
1717909,Ponte Alta do Tocantins,99-Ponte Alta do Tocantins,Outros,Menor impacto re,XII,Jalapão,Regiao Jalapao_Sede,1958,6491,6579,6172,6569,6763,6818,Portal do Sudeste-Assoc. Municipios do Sudeste,5º BPM - Porto Nacional,5º BPM,Jalapão,17007,7180,Ponte Alta do Tocantins,100,Região do Jalapão,6491.089,Encantos do Jalapão,Área-Programa leste( Jalapão),VII,Ponte Alta do Tocantins,41894.808,47511.292,52353.621,59150.662,65873.867,68533.671,76131.267,5834.93,6546.06,7139.45,7754.41,8541.74,8794.26,9671.15
1718451,Pugmil,93-Pugmil,Outros,Menor impacto re,XI,,<Null>,1997,402,0,1989,2165,2230,2252,OMCO-Organização Municipios do Centro Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,2365,Paraíso do Tocantins,78,Região Metropolitana de Palmas,401.689,Sem Região,Área-Programa Centro-Oeste,V,Pugmil,45686.914,31467.399,30237.694,38344.104,49120.051,44426.068,53839.269,19309.77,13116.88,12458.88,15161.77,19180.03,17146.3,20541.5
1713601,Monte do Carmo,69-Monte do Carmo,Outros,Menor impacto re,IX,,<Null>,1963,3617,5979,5193,6387,6586,6723,,5º BPM - Porto Nacional,5º BPM,Porto Nacional,17006,6708,Palmas,91,Região Metropolitana de Palmas,3616.655,Serras e Lago,Área-Programa Central,VI,Monte do Carmo,54331.183,67588.331,72953.991,81917.739,118734.863,118830.259,129412.318,8088.61,9891.46,10503.02,11243.17,16019.27,15770.44,16907.8
1719004,Santa Tereza do Tocantins,101-Santa Tereza do Tocantins,Outros,Menor impacto re,XII,Jalapão,Regiao Jalapao,1988,540,2155,2114,2297,2366,2390,,6º BPM - Palmas - Região Sul (Taquaralto),6º BPM,Jalapão,17007,2523,Ponte Alta do Tocantins,98,Região do Jalapão,539.908,Sem Região,Área-Programa leste( Jalapão),VII,Santa Tereza do Tocantins,16501.974,18037.532,19934.711,22414.989,23102.285,24716.002,27731.805,6540.62,7059.7,7711.69,8317.25,8465.48,8948.59,9925.49
1711951,Lagoa do Tocantins,95-Lagoa do Tocantins,Outros,Menor impacto re,XII,Jalapão,Regiao Jalapao,1993,911,2618,2530,3179,3278,3352,,6º BPM - Palmas - Região Sul (Taquaralto),6º BPM,Jalapão,17007,3525,Ponte Alta do Tocantins,99,Região do Jalapão,911.336,Sem Região,Área-Programa leste( Jalapão),VII,Lagoa do Tocantins,17744.236,21863.965,22790.793,28512.966,30831.852,33124.285,34788.807,5033.83,6069.95,6199.89,7358.18,7791.72,8205.17,8454.15
1716109,Paraíso do Tocantins,91-Paraíso do Tocantins,Outros,Capital,XI,,<Null>,1963,1297,34251,36130,40290,41500,42015,,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,44081,Paraíso do Tocantins,77,Região Metropolitana de Palmas,1297.018,Serras e Lago,Área-Programa Centro-Oeste,V,Paraíso do Tocantins,570080.042,643406.516,764692.816,841619.966,902189.881,1011002.86,1221527.525,12830.39,14280.79,16744.24,17635.15,18636.82,20600.76,24564.67
1718204,Porto Nacional,72-Porto Nacional,Outros,Capital,IX,,<Null>,1861,4450,43365,44991,45289,46598,46722,,5º BPM - Porto Nacional,5º BPM,Porto Nacional,17006,49012,Palmas,86,Região Metropolitana de Palmas,4449.892,Serras e Lago,Área-Programa Central,VI,Porto Nacional,550115.308,699644.733,866502.274,923420.675,1118548.341,1372033.927,1528242.287,11194.17,14144.24,17408.73,17930.15,21574.44,26293.24,29103.83
1704600,Chapada de Areia,84-Chapada de Areia,Javaés,Menor impacto re,XI,,<Null>,1997,659,0,1270,1239,1274,1273,MESOESTE-Associação Municipios do Meio Oeste,8º BPM - Paraíso,8º BPM,Rio Formoso,17004,1335,Paraíso do Tocantins,74,Região do Cantão,659.244,Sem Região,Área-Programa Centro-Oeste,V,Chapada de Areia,11127.326,12499.218,13609.13,15410.54,17096.036,19605.53,21829.058,8335.08,9327.77,10118.31,11118.72,12290.46,14034.02,15569.94
1721000,Palmas,71-Palmas,Outros,Capital,IX,,<Null>,1989,2219,86116,137355,178386,184010,188645,,1º BPM - Palmas - Região Norte e Central,1º BPM,Porto Nacional,17006,223817,Palmas,85,Região Metropolitana de Palmas,2218.934,Serras e Lago,Área-Programa Central,VI,Palmas,4102952.289,4407183.559,4886729.376,5794789.22,6593223.656,7394462.683,8100688.649,17971.99,18728.79,20187.26,22468.78,24841.75,27113.16,28945.92
1715101,Novo Acordo,98-Novo Acordo,Outros,Menor impacto re,XII,Jalapão,Regiao Jalapao,1958,2675,2963,3057,3754,3870,3950,,6º BPM - Palmas - Região Sul (Taquaralto),6º BPM,Jalapão,17007,3762,Ponte Alta do Tocantins,96,Região do Jalapão,2671.882,Encantos do Jalapão,Área-Programa leste( Jalapão),VII,Novo Acordo,21269.607,27493.366,28888.063,32819.435,37529.215,40814.111,42275.108,5653.8,7202.87,7466.55,8117.59,9151.24,9815.8,10034.44
1720150,São Félix do Tocantins,102-São Félix do Tocantins,Outros,Menor impacto re,XII,Jalapão,Regiao Jalapao,1993,1909,1155,1269,1409,1451,1468,,6ª CIPM - Miracema do Tocantins,6ª CIPM,Jalapão,17007,1445,Ponte Alta do Tocantins,97,Região do Jalapão,1908.669,Encantos do Jalapão,Área-Programa leste( Jalapão),VII,São Félix do Tocantins,11116.648,12082.346,12647.396,14055.179,14151.166,15009.089,17950.908,7693.18,8332.65,8644.84,9259.01,9237.05,9714.62,11514.37
1713700,Monte Santo do Tocantins,89-Monte Santo,Outros,Menor impacto re,XI,,<Null>,1997,1092,0,1869,1858,1911,1914,MESOESTE-Associação Municipios do Meio Oeste,8º BPM - Paraíso,8º BPM,Miracema do Tocantins,17003,2085,Paraíso do Tocantins,75,Região do Cantão,1091.548,Sem Região,Área-Programa Centro-Oeste,V,Monte Santo do Tocantins,15467.009,18724.813,20538.347,24667.407,27865.825,30087.109,38971.867,7418.23,8908.09,9697.05,11232.88,12591.88,13485.93,17336.24
1701101,Aparecida do Rio Negro,63-Aparecida do Rio Negro,Outros,Menor impacto re,IX,,<Null>,1987,1160,3646,3517,4018,4140,4200,,6º BPM - Palmas - Região Sul (Taquaralto),6º BPM,Porto Nacional,17006,4207,Palmas,84,Região Metropolitana de Palmas,1160.363,Sem Região,Área-Programa Central,VI,Aparecida do Rio Negro,32140.857,47883.714,51983.174,59320.026,72659.61,71286.248,73532.677,7628.97,11221.87,12035.93,13170.52,15930.63,15436.61,15739.01
1703107,Barrolândia,82-Barrolândia,Outros,Menor impacto re,XI,,<Null>,1988,713,5477,5082,5155,5304,5322,,8º BPM - Paraíso,8º BPM,Miracema do Tocantins,17003,5317,Paraíso do Tocantins,76,Região Metropolitana de Palmas,713.297,Sem Região,Área-Programa Centro-Oeste,V,Barrolândia,38099.209,46217.428,46669.042,53919.962,55471.549,61090.503,71681.154,7126.68,8606.6,8658.45,9703.07,9942.92,10907.07,12750.12
