cod_ibge,nome,bubal_1989,bubal_1990,bubal_1991,bubal_1992,bubal_1993,bubal_1994,bubal_1995,bubal_1996,bubal_1997,bubal_1998,bubal_1999,bubal_2000,bubal_2001,bubal_2002,bubal_2003,bubal_2004,bubal_2005,bubal_2006,bubal_2007,bubal_2008,bubal_2009,bubal_2010,bubal_2011,bubal_2012,bubal_2013,bubal_2014,bubal_2015,bubal_2016,bubal_2017,bubal_2018
1722107,Xambioá,460,480,485,495,530,550,560,7,10,12,15,18,19,22,24,26,28,30,30,32,38,40,38,40,21,23,23,39,50,42
1701051,Angico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1714302,Nazaré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,7,8,0,0,0,0,0,0
1712454,Luzinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1721208,Tocantinópolis,0,0,0,0,0,0,0,0,0,0,0,12,11,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703826,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701002,Ananás,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,32,38
1712801,Maurilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720101,São Bento do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710706,Itaguatins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702901,Axixá do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,2,2,2,2,4,5,0,0,0
1720804,Sítio Novo do Tocantins,0,0,0,0,0,0,0,0,0,0,0,77,70,80,21,0,27,33,23,25,29,12,13,10,10,7,0,0,0,0
1720200,São Miguel do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,0,0,0,0,0
1702554,Augustinópolis,0,0,0,0,0,0,0,0,0,0,0,53,50,60,60,10,20,35,22,30,19,29,40,40,43,44,39,39,47,46
1718303,Praia Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702208,Araguatins,0,0,0,0,0,0,0,0,0,0,0,43,40,60,100,102,32,66,73,46,46,51,60,70,75,98,100,109,89,95
1703800,Buriti do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,76,127,144,0,0,0,0,0,0,0,0,0,0,0
1703891,Carrasco Bonito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718808,Sampaio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,25,10,10,0,0,15,19,21
1707405,Esperantina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,6,5,4,1,0,0,0,0,0,0,0,0
1720309,São Sebastião do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,113,102,109,60,65,111,20,22,28,32
1712157,Lavandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,3,3,5,4,4,7,6,5,5,5,0,0
1702703,Aurora do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,0,0,0,0,0,0,0,17,19,17,20,20,0,0,0,0,32,43,36,35,10,47,45,50,11,8,8,8,0,0
1707009,Dianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,13,10,8,8,10,13,11,11,11,10,9
1718659,Rio da Conceição,0,0,0,0,0,0,0,0,0,0,0,147,176,150,50,30,30,13,13,10,15,8,8,13,13,0,0,0,0,0
1712702,Mateiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1
1709302,Guaraí,100,120,150,200,190,200,200,60,60,60,70,70,80,65,75,60,52,44,100,85,100,127,118,120,110,135,100,260,355,384
