cod_ibge,nome,cultura,ano,area_plantada_ha,area_colhida_ha,quantidade_ton,valor_mil_reais
1713304,Miranorte,feijao,2024,...,...,...,...
1713601,Monte do Carmo,feijao,2024,...,...,...,...
1713700,Monte Santo do Tocantins,feijao,2024,...,...,...,...
1713809,Palmeiras do Tocantins,feijao,2024,...,...,...,...
1713957,Muricilândia,feijao,2024,...,...,...,...
1714203,Natividade,feijao,2024,...,...,...,...
1714302,Nazaré,feijao,2024,...,...,...,...
1714880,Nova Olinda,feijao,2024,...,...,...,...
1715002,Nova Rosalândia,feijao,2024,...,...,...,...
1715101,Novo Acordo,feijao,2024,...,...,...,...
1715150,Novo Alegre,feijao,2024,...,...,...,...
1715259,Novo Jardim,feijao,2024,...,...,...,...
1715507,Oliveira de Fátima,feijao,2024,...,...,...,...
1715705,Palmeirante,feijao,2024,...,...,...,...
1715754,Palmeirópolis,feijao,2024,...,...,...,...
1716109,Paraíso do Tocantins,feijao,2024,...,...,...,...
1716208,Paranã,feijao,2024,...,...,...,...
1716307,Pau D'Arco,feijao,2024,...,...,...,...
1716505,Pedro Afonso,feijao,2024,...,...,...,...
