cod_ibge,ano,cnae_2_secao,vinculos
1700707,2021,53,5
1700707,2021,61,8
1700707,2021,64,8
1700707,2021,25,12
1700707,2021,82,58
1700707,2021,85,26
1700707,2021,94,8
1700707,2021,96,6
1700707,2021,69,28
1700707,2021,56,56
1700707,2021,84,530
1700707,2021,77,2
1700707,2021,93,1
1700707,2021,32,1
1700707,2021,45,34
1700707,2021,10,696
1700707,2021,46,38
1700707,2021,14,2
1700707,2021,23,98
1700707,2021,49,140
1700707,2021,03,1
1700707,2021,02,19
1700707,2021,35,14
1700707,2021,43,41
1700707,2021,95,1
1700707,2021,41,1
1700707,2022,03,2
1700707,2022,61,7
1700707,2022,86,21
1700707,2022,94,24
1700707,2022,23,151
1700707,2022,41,33
1700707,2022,52,14
1700707,2022,64,10
1700707,2022,84,581
1700707,2022,96,7
1700707,2022,45,34
1700707,2022,90,1
1700707,2022,56,63
1700707,2022,31,1
1700707,2022,01,372
1700707,2022,69,38
1700707,2022,74,1
1700707,2022,93,16
1700707,2022,02,11
1700707,2022,35,15
1700707,2022,53,4
1700707,2022,25,19
1700707,2022,47,375
1700707,2022,82,94
1700707,2022,85,27
1700707,2022,10,790
1700707,2022,32,1
1700707,2022,43,19
1700707,2022,46,73
1700707,2022,49,217
1700707,2022,55,11
1700707,2023,53,3
1700707,2023,11,161
1700707,2023,43,85
1700707,2023,86,18
1700707,2023,55,15
1700707,2023,61,11
1700707,2023,93,16
1700707,2023,71,12
1700707,2023,84,614
1700707,2023,23,153
1700707,2023,96,10
1700707,2023,15,248
1700707,2023,41,46
1700707,2023,82,119
1700707,2023,42,3
1700707,2023,74,1
1700707,2023,47,436
1700707,2023,68,5
1700707,2023,45,46
1700707,2023,49,238
1700707,2023,46,100
1700707,2023,52,13
1700707,2023,16,15
1700707,2023,85,27
1700707,2023,69,36
1700707,2023,35,15
1700707,2023,22,4
1700707,2023,94,30
1700707,2023,25,20
1700707,2023,73,1
1700707,2023,32,1
1700707,2023,31,1
1700707,2023,10,853
1700707,2023,63,30
1700707,2023,56,65
1700707,2023,64,13
1700707,2023,79,1
1700707,2024,63,19
1700707,2024,22,2
1700707,2024,74,1
1700707,2024,10,808
1700707,2024,56,89
1700707,2024,41,45
1700707,2024,93,16
1700707,2024,25,19
1700707,2024,14,1
1700707,2024,15,256
1700707,2024,42,1
1700707,2024,53,3
1700707,2024,52,12
1700707,2024,82,145
1700707,2024,69,28
1700707,2024,35,13
1700707,2024,85,26
1700707,2024,55,13
1700707,2024,79,1
1700707,2024,86,18
1700707,2024,94,27
1700707,2024,45,53
1700707,2024,96,10
1700707,2024,23,162
1700707,2024,61,16
1700707,2024,71,8
1700707,2024,31,1
1700707,2024,49,104
1700707,2024,68,8
1700707,2024,73,1
1700707,2024,47,443
1700707,2024,11,162
1700707,2024,46,116
1700707,2024,16,13
1700707,2024,64,16
1700707,2024,21,13
1700707,2024,84,682
1700707,2024,43,113
1700707,2024,32,2
1701002,2019,94,2
1701002,2019,85,4
1701002,2019,35,8
1701002,2019,01,363
1701002,2019,55,2
1701002,2019,64,6
1701002,2019,45,16
1701002,2019,49,15
1701002,2019,56,18
1701002,2019,69,25
1701002,2019,25,2
1701002,2019,46,1
1701002,2019,47,168
1701002,2019,84,604
1701002,2019,50,12
1701002,2019,10,7
1701002,2019,23,1
1701002,2019,53,2
1701002,2019,31,5
1701002,2019,86,9
1701002,2020,86,8
1701002,2020,50,10
1701002,2020,25,3
1701002,2020,56,24
1701002,2020,47,169
1701002,2020,53,1
1701002,2020,10,12
1701002,2020,84,582
1701002,2020,35,8
1701002,2020,94,2
1701002,2020,41,3
1701002,2020,69,24
1701002,2020,64,6
1701002,2020,23,1
1701002,2020,01,332
1701002,2020,49,15
1701002,2020,45,13
1701002,2021,45,14
1701002,2021,56,3
1701002,2021,69,20
1701002,2021,84,624
1701002,2021,94,2
1701002,2021,49,7
1701002,2021,50,6
1701002,2021,86,8
1701002,2021,41,4
1701002,2021,53,2
1701002,2021,10,8
1701002,2021,35,11
1701002,2021,47,183
1701002,2021,23,1
1701002,2021,01,372
1701002,2021,31,1
1701002,2021,64,6
1701002,2021,96,1
1701002,2021,25,2
1701002,2021,62,1
1701002,2021,93,2
1701002,2022,85,4
1701002,2022,01,372
1701002,2022,47,178
1701002,2022,49,3
1701002,2022,10,16
1701002,2022,45,16
1701002,2022,53,3
1701002,2022,25,2
1701002,2022,41,7
1701002,2022,96,2
1701002,2022,50,6
1701002,2022,93,3
1701002,2022,56,5
1701002,2022,31,1
1701002,2022,64,7
1701002,2022,84,552
1701002,2022,86,9
1701002,2022,94,2
1701002,2022,35,11
1701002,2022,55,5
1701002,2022,69,16
1701002,2022,61,2
1701002,2022,23,1
1701002,2022,82,1
1701002,2023,15,387
1701002,2023,85,4
1701002,2023,25,1
1701002,2023,47,184
1701002,2023,64,5
1701002,2023,50,8
1701002,2023,11,25
1701002,2023,56,5
1701002,2023,96,2
1701002,2023,41,14
1701002,2023,45,18
1701002,2023,69,18
1701002,2023,86,8
1701002,2023,61,2
1701002,2023,62,1
1701002,2023,49,3
1701002,2023,94,1
1701002,2023,31,1
1701002,2023,55,7
1701002,2023,35,11
1701002,2023,16,9
1701002,2023,77,6
1701002,2023,53,2
1701002,2023,82,1
