cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1704105,2,,,Centenário,0.16063312,2.56100729,0,0,0,0,6,0,2,0,0,3,0,8,19,0,9,0,0,0,0,2,0,0,0,0,0
1721257,3,,,Tupirama,0.05811511,1.43313226,0,0,0,0,11,0,8,0,0,2,0,11,10,0,11,0,0,0,0,4,0,0,0,0,0
1708304,1,,,Goianorte,0.1477303,3.21809277,9,0,0,0,35,0,8,0,0,0,0,30,17,0,14,0,0,0,2,4,0,0,0,0,0
1718881,0,,,Santa Maria do Tocantins,0.11607513,2.70999707,0,0,4,0,16,0,6,0,0,4,0,17,15,0,11,0,0,0,0,4,0,0,0,0,0
1716703,3,,,Colméia,0.09542654,2.33020766,10,0,2,0,54,0,32,0,0,8,1,49,34,4,24,0,0,0,0,13,1,0,0,0,0
1701903,2,,,Araguacema,0.22758648,3.08617578,0,0,0,0,23,0,29,0,0,4,0,22,49,0,19,0,0,0,0,10,0,0,0,0,0
1718501,1,,,Recursolândia,0.182156,3.07033462,0,0,6,0,0,0,20,0,0,4,0,12,40,0,10,0,0,0,0,4,0,0,0,0,0
1718402,0,,,Presidente Kennedy,0.06336653,1.75368791,9,0,0,0,19,0,3,0,0,0,0,19,13,0,10,0,0,0,0,3,0,5,0,0,0
1706001,0,,,Couto de Magalhães,0.13010466,2.25476748,6,0,3,0,38,0,17,0,0,6,0,37,31,0,29,0,0,0,0,6,0,0,0,0,0
1711100,2,,,Itaporã do Tocantins,0.07962937,1.64374706,0,0,0,0,7,0,6,0,0,4,0,7,11,0,6,0,0,0,0,2,0,0,0,0,0
1710508,3,,,Itacajá,0.25028004,3.75607387,9,0,0,0,40,0,11,0,0,2,0,76,34,0,74,0,0,0,0,2,0,3,0,0,0
1703602,1,,,Brasilândia do Tocantins,0.05301349,1.58163223,0,0,0,0,6,0,1,0,0,4,0,8,11,0,9,0,0,0,0,4,0,0,0,0,0
1721307,2,,,Tupiratins,0.07298803,1.53113203,0,0,0,0,8,0,3,0,0,3,0,11,11,0,9,0,0,0,0,3,0,0,0,0,0
1716653,4,,,Pequizeiro,0.09901545,2.7857013,10,0,11,0,22,0,38,0,0,6,0,15,40,0,11,0,0,0,0,8,0,0,0,0,0
1711803,1,,,Juarina,0.03995133,1.19529153,0,0,0,0,12,0,3,0,0,3,0,12,10,0,12,0,0,0,0,4,0,0,0,0,0
1710904,4,,,Itapiratins,0.10230238,2.37299098,8,0,0,0,19,0,7,0,0,2,0,14,22,0,18,0,0,0,0,2,0,0,0,0,0
1703842,0,,,Campos Lindos,0.26544488,3.07382058,9,0,10,0,22,0,57,0,0,0,0,16,96,0,23,0,0,0,0,6,0,0,0,0,0
1705508,0,,,Colinas do Tocantins,0.06911198,1.65806589,33,0,8,0,147,0,116,16,1,34,4,111,86,30,66,16,8,26,1,32,7,0,16,8,0
1703206,0,,,Bernardo Sayão,0.07569765,1.80585331,9,0,0,0,14,0,20,0,0,4,0,12,37,0,13,0,0,0,0,7,0,0,0,0,0
1703057,3,,,Bandeirantes do Tocantins,0.12632406,2.84391773,7,0,0,0,13,0,19,0,0,2,0,11,25,0,14,0,0,0,0,5,0,0,0,0,0
1702307,1,,,Arapoema,0.12809344,2.23976159,0,0,0,0,28,0,7,0,0,1,0,22,20,0,15,0,0,0,0,7,0,0,0,0,3
1709005,2,,,Goiatins,0.52625545,5.68972557,30,0,23,0,55,0,78,0,0,16,0,93,106,0,67,0,0,0,0,23,0,18,0,0,0
1715705,3,,,Palmeirante,0.21634383,3.13200183,12,0,4,0,22,0,25,0,0,0,0,18,40,0,21,0,0,0,0,4,0,0,0,0,0
1714880,1,,,Nova Olinda,0.12848224,2.27077846,26,0,5,0,52,0,42,2,1,28,0,35,63,8,30,0,0,0,1,13,0,0,0,0,8
1703073,0,,,Barra do Ouro,0.09063905,2.23770324,0,0,5,0,17,0,1,0,0,0,0,21,32,0,19,0,0,0,0,9,0,0,0,0,0
1716307,0,,,Pau d'Arco,0.11331092,3.39820532,0,0,0,0,17,0,18,0,0,3,0,14,26,0,17,0,0,0,0,4,0,0,0,0,0
