cod_ibge_1,color,nome,shape_area,shape_leng,cod_ibge,last_modification_1,modified_by_1,ndc_est_ru,ndc_est_ur,ndc_mun_ru,ndc_mun_u,ndc_mun_ur,ndc_pa_ru,ndc_pa_ur,nde_e_ru,nde_e_ur,nde_m_ur,nde_pa_ur,ndeja_e_r,ndeja_e_ru,ndeja_e_u,ndeja_e_ur,ndeja_m_ru,ndeja_m_u,ndeja_m_ur,ndeja_p_ru,ndeja_p_u,ndeja_p_ur,ndeja_ur_f,ndf_es_ru,ndf_es_ur,ndf_mun_ru,ndf_mun_ur,ndf_pa_ru,ndf_pa_ur,ndm_es_ru,ndm_es_ur,ndm_mun_ru,ndm_mun_ur,ndm_pa_ru,ndm_pa_ur,ndm_ru_fe,ndm_ur_fe,ndp_es_ru,ndp_es_u,ndp_es_ur,ndp_mun_ru,ndp_pa_r,ndp_pa_ru,ndp_pa_u,ndp_pa_ur,ndp_ru_fe,ndp_ur_fe
1718758,1,Rio Sono,0.52277967,3.51907302,1718758,,,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,19,27,4,0,0,7,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1717503,3,Pium,0.82533574,6.69105233,1717503,,,0,0,0,15,3,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,21,29,20,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
1713304,0,Miranorte,0.08506216,1.90410905,1713304,,,0,0,0,2,14,0,2,0,14,0,0,0,0,8,9,0,3,0,0,0,0,0,0,24,22,42,0,23,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
1700251,1,Abreulândia,0.15695645,4.21762618,1700251,,,0,0,0,1,5,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,17,6,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703909,0,Caseara,0.13963335,2.12470943,1703909,,,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718709,1,Rio dos Bois,0.06971184,1.59918143,1718709,,,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,9,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716505,0,Pedro Afonso,0.16616426,2.65796079,1716505,,,0,0,0,13,18,0,7,0,14,0,0,0,0,10,13,0,1,0,0,0,0,0,19,51,2,39,0,12,14,24,0,0,0,8,0,0,0,0,0,0,0,0,14,2,0,7
1708254,2,Tabocão,0.05135747,1.6139286,1708254,,,0,0,0,4,6,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,24,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712405,0,Lizarda,0.46950337,5.49885419,1712405,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,17,12,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707207,4,Dois Irmãos do Tocantins,0.30838586,4.14760479,1707207,,,0,0,0,5,2,0,0,0,10,0,0,0,0,0,7,0,1,0,0,0,0,0,0,16,24,15,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1703305,1,Bom Jesus do Tocantins,0.10911396,2.64378372,1703305,,,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,8,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704105,2,Centenário,0.16063312,2.56100729,1704105,,,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1721257,3,Tupirama,0.05811511,1.43313226,1721257,,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,1,Goianorte,0.1477303,3.21809277,1708304,,,0,0,0,0,5,0,0,0,7,0,0,0,0,7,6,0,0,0,0,0,0,0,7,24,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718881,0,Santa Maria do Tocantins,0.11607513,2.70999707,1718881,,,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,14,2,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716703,3,Colméia,0.09542654,2.33020766,1716703,,,0,0,0,5,14,0,1,0,20,0,0,0,0,6,11,1,1,0,0,0,0,0,6,31,5,33,0,6,6,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1701903,2,Araguacema,0.22758648,3.08617578,1701903,,,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,19,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
