cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,296,227,0,325,0,0,84,153,0,0,0,0,0,0,0,0,0,0,80,111,0,0
1716307,Pau d'Arco,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,148,6,324,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,116,0,0
1707702,Filadélfia,0,51,0,0,0,0,0,0,0,0,45,0,0,25,0,0,0,0,0,757,581,0,231,0,0,0,451,0,0,0,0,0,0,0,0,0,0,82,126,0,0
1702109,Araguaína,0,2774,0,1009,204,0,0,0,41,169,34,24,36,1485,78,0,0,207,0,12937,566,1014,8085,0,4010,0,6895,49,0,1000,0,189,0,0,508,0,1294,177,3301,0,1627
1703883,Carmolândia,0,51,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,158,0,52,317,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,74,0,0
1703008,Babaçulândia,0,119,0,0,0,0,0,0,0,0,52,0,0,44,0,0,0,0,0,573,536,29,350,0,0,0,402,0,0,0,0,0,0,0,0,0,0,62,121,0,0
1718865,Santa Fé do Araguaia,12,108,0,0,0,0,0,0,0,15,25,0,0,78,0,0,0,0,124,436,244,54,576,0,41,34,346,0,0,0,0,0,0,0,0,0,0,41,89,0,11
1713957,Muricilândia,0,35,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,314,64,0,204,0,0,0,152,0,0,0,0,0,0,0,0,0,0,8,34,0,0
1701309,Aragominas,0,12,0,0,0,0,0,0,0,64,14,0,0,48,0,0,0,0,0,469,109,26,475,0,0,0,299,0,0,0,0,0,0,0,0,0,0,34,119,0,0
1722081,Wanderlândia,0,92,0,0,0,0,0,101,0,0,21,0,0,79,0,0,0,0,0,670,508,59,288,0,48,0,446,0,0,0,0,0,0,0,0,0,0,65,164,0,8
