cod_ibge,nome,cod_ibge_1_1,nome_1,ti_snf_eur,ti_stf_eru,ti_stf_mru,ti_stf_mur,ti_stf_pru,ti_stf_pur,ti_stm_eru,ti_stm_eur,ti_stm_fru,ti_stm_fur,ti_stm_mru,ti_stm_pru,ti_stm_pur
1722107,Xambioá,1722107,XambioÃ¡,29.5,0,15,13.1,0,2,0,28.1,0,0,0,0,0
1701051,Angico,1701051,Angico,32,0,34,8,0,0,0,29.7,0,0,0,0,0
1714302,Nazaré,1714302,NazarÃ©,30.6,16,19,0,0,0,30,42.3,0,0,0,0,0
1712454,Luzinópolis,1712454,LuzinÃ³polis,31.7,0,0,13,0,0,0,42.1,0,0,0,0,0
1721208,Tocantinópolis,1721208,TocantinÃ³polis,22.1,64,16,13.9,0,0,68,32.5,0,0,0,0,0
1703826,Cachoeirinha,1703826,Cachoeirinha,9.9,0,0,29.7,0,0,0,49,0,0,0,0,0
1701002,Ananás,1701002,AnanÃ¡s,16.8,28,6,6.5,0,0,42,21.2,0,0,0,0,0
1712801,Maurilândia do Tocantins,1712801,MaurilÃ¢ndia do Tocantins,29.8,64,22,25.6,0,0,0,28.5,0,0,0,0,0
1720101,São Bento do Tocantins,1720101,SÃ£o Bento do Tocantins,32.6,46,14,18.3,0,0,61,35.9,0,0,0,0,0
1710706,Itaguatins,1710706,Itaguatins,27.9,0,27,27.1,0,0,0,34.5,0,0,0,0,0
1702901,Axixá do Tocantins,1702901,AxixÃ¡ do Tocantins,23.7,0,14,21.3,0,0,0,31.1,0,0,0,0,0
1720804,Sítio Novo do Tocantins,1720804,SÃ­tio Novo do Tocantins,24.9,29,25,18,0,0,37,33.4,0,0,0,0,0
1720200,São Miguel do Tocantins,1720200,SÃ£o Miguel do Tocantins,35.7,41,21,20.4,0,0,45,53.5,0,0,0,0,0
1702554,Augustinópolis,1702554,AugustinÃ³polis,23.7,27,14,10.5,0,3,0,36.8,0,0,0,0,0
1718303,Praia Norte,1718303,Praia Norte,22.2,0,26,22.7,0,0,0,32.7,0,0,0,0,0
1702208,Araguatins,1702208,Araguatins,20.8,36,28,28.9,0,4,49,36.7,21,0,0,0,0
1703800,Buriti do Tocantins,1703800,Buriti do Tocantins,23.9,22,8,11.5,0,0,42,37,0,0,0,0,0
1703891,Carrasco Bonito,1703891,Carrasco Bonito,20.3,30,26,20,0,0,41,46.5,0,0,0,0,0
1718808,Sampaio,1718808,Sampaio,31.7,0,18,16.1,0,0,0,31.6,0,0,0,0,0
1707405,Esperantina,1707405,Esperantina,35.8,26,31,29.6,0,0,35,40.1,0,0,0,0,0
1720309,São Sebastião do Tocantins,1720309,SÃ£o SebastiÃ£o do Tocantins,30.1,0,10,12.9,0,0,0,33.8,0,0,0,0,0
1712157,Lavandeira,1712157,Lavandeira,22.1,0,0,3.4,0,0,0,22.5,0,0,0,0,0
1702703,Aurora do Tocantins,1702703,Aurora do Tocantins,28.8,0,0,3.6,0,0,0,36.1,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,1717800,Ponte Alta do Bom Jesus,30.1,29,42,0,0,0,31,46.4,0,0,0,0,0
1715259,Novo Jardim,1715259,Novo Jardim,44.4,0,28,26,0,0,0,42.2,0,0,0,0,0
1707009,Dianópolis,1707009,DianÃ³polis,25.6,14,39,13.7,0,0,41,38.9,0,0,0,0,0
1718659,Rio da Conceição,1718659,Rio da ConceiÃ§Ã£o,32.3,0,0,15,0,0,0,50,0,0,0,0,0
1712702,Mateiros,1712702,Mateiros,45.4,45,42,32.1,0,0,0,65.8,0,0,0,0,0
1709302,Guaraí,1709302,GuaraÃ­,28.7,0,15,9.3,0,2,0,29.5,0,0,0,0,1
