cod_ibge,nome,mun_ur_pre,mun_ru_pre,pri_ur_pre,es_ur,es_ru,mun_ur,mun_r,pri_ur,pri_ru,fed,fed_ru,est,est_re,mun_ru,pri_urbano,pri_rural,fed_ur,fed_r,est_u,pri_rl,pri,fed_u,fed_rural,est_ur,est_ru,mun_u,mun,pri_u,pri_r,es_ur_tot,es_ru_tot,mun_ur_tot,mun_ru_tot,pri_ur_tot
1705508,Colinas do Tocantins,11,1,2,8,0,11,2,2,0,0,0,4,0,1,2,0,0,0,0,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0
1703206,Bernardo Sayão,1,3,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,1,2,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1702307,Arapoema,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1709005,Goiatins,3,7,0,2,10,2,13,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0
1715705,Palmeirante,1,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1714880,Nova Olinda,4,2,0,3,0,3,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0
1703073,Barra do Ouro,1,3,0,1,1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716307,Pau d'Arco,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1707702,Filadélfia,2,12,0,3,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
1702109,Araguaína,42,12,28,31,0,30,16,21,0,1,0,17,0,0,6,0,1,0,0,9,0,1,0,10,0,7,1,3,0,1,0,0,0,0
1703883,Carmolândia,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1703008,Babaçulândia,1,4,0,3,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,1,4,1,2,3,1,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
1713957,Muricilândia,1,0,0,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
