ano,sigla_uf,quantidade_cvli,quantidade_feminicidio,quantidade_ocorrencia_homicidio_doloso,quantidade_vitima_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_seguida_de_morte,quantidade_morte_a_esclarecer,quantidade_morte_intervencao_policial_civil_servico,quantidade_morte_intervencao_policial_civil_fora_servico,quantidade_morte_intervencao_policial_militar_servico,quantidade_morte_intervencao_policial_militar_fora_servico,quantidade_morte_violenta_intencional,quantidade_policial_civil_morto_confronto_servico,quantidade_policial_civil_morto_confronto_fora_servico,quantidade_policial_militar_morto_confronto_servico,quantidade_policial_militar_morto_confronto_fora_servico,quantidade_suicidio,quantidade_estupro,quantidade_tentativa_estupro,quantidade_furto_veiculo,quantidade_roubo_instituicao_financeira,quantidade_roubo_carga,quantidade_roubo_de_veiculo,quantidade_arma_fogo_apreendida,quantidade_registro_pessoa_desaparecida,quantidade_populacao_sistema_penitenciario,despesa_empenhada_seguranca_publica
2011,PB,1667,0,1633,0,27,7,31,2,0,7,0,1667,0,0,0,1,78,265,36,0,45,5,501,0,146,0,1033648850.014979
2011,PE,3378,0,3251,0,78,49,1271,0,5,24,17,3378,0,2,1,9,310,1972,304,0,36,187,7010,0,1597,0,3203175332.73888
2011,PI,349,0,341,0,4,4,44,0,0,7,0,349,0,0,0,0,44,238,69,0,6,3,717,0,132,0,388475623.71254373
2011,PR,3328,0,3085,0,88,155,0,0,0,147,0,3475,0,0,10,0,422,3218,340,0,366,,6441,0,4280,0,2601468224.80493
2011,RJ,4164,0,4009,0,116,39,2456,0,0,0,0,4164,5,10,6,5,313,4742,378,0,50,3073,18773,0,5488,0,7392018631.0259981
2011,RN,1068,0,901,0,17,150,89,0,0,21,0,1068,0,0,0,1,141,404,16,0,2,1,626,0,36,0,946744271.95405447
2011,RO,415,0,399,0,12,4,200,0,0,2,1,418,0,0,3,1,65,815,143,0,14,4,884,0,1079,0,1171454453.23519
2011,RR,60,0,54,0,1,5,107,0,0,0,0,60,0,0,0,0,14,292,62,0,0,0,60,0,215,0,235883558.35958159
2011,RS,1880,0,1717,0,82,81,1148,4,0,36,0,1880,1,0,2,0,858,3852,,0,30,226,10966,0,8973,0,3044759130.6627221
2011,SC,876,0,741,0,38,97,993,2,1,41,4,924,0,0,1,2,671,2355,665,0,98,131,2159,0,2830,0,2404010102.3482542
2011,SE,708,0,671,0,24,13,456,1,0,3,0,712,0,0,0,0,32,321,48,0,14,12,845,0,112,0,1098925303.8067751
2011,SP,4509,0,4193,0,316,0,0,23,0,438,6,4976,12,8,16,35,0,10399,,0,252,6958,79190,0,27216,0,12970253093.588739
2011,TO,277,0,256,0,16,5,144,1,0,2,0,280,1,0,0,0,39,363,61,0,25,11,118,0,409,0,850691364.90140688
2012,AC,189,0,174,177,10,2,14,0,0,5,2,189,0,0,2,0,36,396,50,0,5,0,166,0,339,0,532164696.28393859
2012,AL,2145,0,1843,2040,87,18,57,2,0,24,0,2171,1,0,1,9,69,493,60,0,95,65,3045,0,213,0,1225743016.633635
2012,AM,1152,0,1010,1086,40,26,29,0,0,5,3,1160,0,1,0,6,54,1031,314,0,47,16,4763,0,1098,0,1593403245.269743
2012,AP,173,0,164,164,7,2,5,0,0,1,0,174,0,1,0,0,9,383,25,0,7,,126,0,,0,59402949.284287684
2012,BA,6185,0,5638,5879,165,141,439,60,1,284,0,6530,0,3,3,23,415,2512,227,0,104,282,12541,0,629,0,4684426051.487
2012,CE,3734,0,3492,3569,101,64,882,0,0,0,0,3734,0,0,0,0,454,1485,147,0,,247,6359,0,1716,0,2269561921.3204689
2012,DF,871,0,787,819,47,5,24,0,0,1,2,871,0,0,3,11,122,864,89,0,1,14,4120,0,2987,0,858665289.38986635
2012,ES,1719,0,1660,1660,46,13,356,2,1,13,1,1736,2,1,1,2,110,648,211,0,36,46,4097,0,2083,0,1426239918.70623
2012,GO,2526,0,2426,2426,84,16,815,0,1,62,18,2588,0,3,0,4,176,492,189,0,13,193,7132,0,2984,0,2202699238.9748449
2012,MA,1654,0,1458,1498,54,102,81,0,0,11,1,1666,1,1,1,3,102,967,265,0,116,39,1492,0,545,0,1309905072.8961689
2012,MG,4125,0,3924,3924,128,73,3780,1,2,56,8,4125,1,5,5,5,1986,1741,585,0,238,1020,4896,0,11202,0,7663524964.5861416
2012,MS,614,0,562,568,28,18,421,0,0,15,3,614,0,1,1,2,157,1358,133,0,26,12,893,0,1534,0,1522642881.9785211
2012,MT,1047,0,933,948,40,59,298,0,0,7,0,1047,1,2,4,10,172,1204,165,0,41,25,2512,0,1065,0,1608429825.2420449
2012,PA,3262,0,3051,3051,132,79,26,20,0,65,54,3401,2,1,22,20,84,2393,182,0,25,89,3224,0,2979,0,2181270638.3951931
2012,PB,1540,0,1476,1515,21,4,0,1,0,13,0,1540,0,1,2,1,87,336,37,0,41,13,451,0,105,0,1143655422.1640129
2012,PE,3321,0,3063,3155,84,82,736,1,2,31,10,3321,1,5,5,28,409,2107,323,0,87,178,6972,0,1769,0,3012473002.4120932
2012,PI,529,0,479,491,20,18,87,2,0,2,0,529,0,0,2,5,70,442,103,0,6,3,1131,0,162,0,379660342.38822711
2012,PR,3286,0,1455,3135,42,109,453,2,0,165,0,3453,2,7,21,23,333,3523,396,0,475,,8856,0,6409,0,3139567745.2658381
2012,RJ,4241,0,3862,4081,136,24,3625,0,0,0,0,4241,4,0,14,0,310,5971,392,0,50,3656,22065,0,5975,0,8666090101.9428329
2012,RN,388,0,369,369,9,10,203,0,0,1,0,388,2,0,0,0,56,329,28,0,3,7,3359,0,70,0,1277991856.2305329
2012,RO,506,0,471,484,14,8,308,2,0,6,1,515,1,3,3,4,70,885,114,0,26,4,1251,0,1051,0,1188532359.459702
2012,RR,72,0,62,64,4,4,53,0,0,0,0,72,0,0,0,0,25,245,72,0,0,,78,0,227,0,224651722.6758177
2012,RS,2222,0,1992,2076,91,55,1091,0,0,67,0,2222,0,0,1,0,1000,3805,993,0,51,269,12051,0,9740,0,3391907078.5126572
2012,SC,841,0,698,748,51,42,951,12,1,52,6,912,0,1,1,2,521,2867,675,0,35,139,2346,0,2982,0,2137879116.0675471
2012,SE,845,0,803,803,36,6,500,0,0,0,0,845,0,0,0,2,25,465,54,0,34,7,1201,0,125,0,1197475167.25877
2012,SP,5553,0,4836,5209,344,0,0,19,23,564,169,6328,14,17,36,72,0,12886,,0,222,7344,87227,0,30261,0,13284276319.867729
2012,TO,314,0,296,302,8,4,123,0,0,7,1,322,0,0,0,2,53,396,53,0,34,17,144,0,368,0,844554047.91551089
2013,AC,215,0,155,198,13,4,16,0,0,2,0,215,1,0,0,1,44,400,65,,,0,44,667,338,0,549175240.00531113
2013,AL,2242,0,2152,2152,79,11,815,6,0,20,3,2273,0,0,1,5,156,1275,136,753,118,59,3211,1708,204,0,1436512112.8079159
2013,AM,978,0,909,909,36,33,62,1,0,5,1,985,1,0,0,1,95,1433,435,1457,,12,1969,938,1360,0,1606650796.9907219
2013,AP,241,0,193,225,9,7,3,0,0,0,0,245,0,0,0,0,21,469,28,647,5,0,178,289,,0,75515866.09632574
2013,BA,5713,0,5440,5440,151,122,440,61,18,234,0,6026,1,3,1,7,0,3149,,4790,,,13079,5146,600,0,4187259055.7433238
2013,CE,4391,0,4077,4209,107,75,1098,0,0,0,0,4432,0,0,2,16,538,1675,158,4862,,291,9372,6124,1858,0,2116935544.7386949
2013,DF,743,0,707,707,29,7,0,0,0,0,0,743,0,1,1,6,0,867,80,7186,2,13,4214,2173,3289,0,931360864.67924106
2013,ES,1617,0,1564,1564,35,18,100,0,2,18,4,1641,3,1,0,2,157,355,151,2996,12,139,4115,4266,2131,0,1547703701.126699
2013,GO,2718,0,2583,2583,124,11,461,1,4,55,20,2774,0,1,1,6,207,513,166,6117,18,192,3325,3279,2883,0,2210169357.4053249
2013,MA,1757,0,1595,1595,63,99,57,2,0,22,1,1782,2,4,0,10,101,1034,232,1348,,27,2098,1081,614,0,1302441871.2934861
2013,MG,4240,0,4095,4095,84,61,1886,4,3,46,9,4240,0,4,5,3,2280,874,269,13689,,432,3846,23267,11148,0,8605615885.92218
2013,MS,578,0,535,535,26,17,0,6,0,24,4,578,0,1,2,4,0,1361,138,3214,,,892,814,1421,0,1250417895.9250519
2013,MT,1130,0,1000,1022,45,63,261,0,0,7,0,1130,0,0,3,13,162,1390,153,3204,7,17,3282,2217,1049,0,1653480121.749191
2013,PA,3384,0,3187,3187,156,41,62,11,3,103,35,3536,2,3,13,33,208,3015,46,1753,19,85,4350,1610,2889,0,2307281116.8078842
2013,PB,1537,0,1467,1495,28,14,0,1,0,14,0,1537,0,1,0,2,0,310,,285,,,,2774,117,0,1235120244.907829
2013,PE,3097,0,2854,2941,73,83,704,0,0,0,4,3097,0,1,2,9,417,2525,368,3538,115,258,7134,4931,2322,0,2879822229.6536512
2013,PI,551,0,501,506,29,16,95,1,1,5,4,551,1,0,1,2,82,443,92,1159,10,15,1653,328,198,0,136836859.40976319
2013,PR,2704,0,1229,2572,46,86,398,4,3,166,5,2874,1,1,1,2,294,3584,422,15293,,,7643,7026,6458,0,3365604830.29983
2013,RJ,4932,0,4421,4745,148,39,0,0,0,0,0,5348,4,7,16,77,0,5885,,17668,71,3534,28002,8101,5822,0,10179077715.351
2013,RN,1624,0,1287,1287,16,321,177,0,2,0,0,1624,0,0,0,5,33,240,27,,10,463,1638,493,64,0,1024343097.156197
