cod_ibge,ano,id_classe,classe,area
1700251,2015,9,3.3. Silvicultura,0.47088158990478363
1700251,2016,11,2.1. Campo Alagado e Área Pantanosa,10.960002741333049
1700251,2016,12,2.2. Formação Campestre,155.10466321496651
1700251,2016,15,3.1. Pastagem,609.20401075062659
1700251,2016,21,3.4. Mosaico de Usos,24.009614876342749
1700251,2016,24,4.2. Área Urbanizada,0.69744671942138647
1700251,2016,25,4.4. Outras Áreas não Vegetadas,6.2615180991821466
1700251,2016,3,1.1 Formação Florestal,218.91471769378981
1700251,2016,33,"5.1 Rio, Lago e Oceano",1.06428167059326
1700251,2016,39,3.2.1.1. Soja,36.098240914611218
1700251,2016,4,1.2. Formação Savânica,841.3049017858873
1700251,2016,41,3.2.1.5. Outras Lavouras Temporárias,2.1765996775512781
1700251,2016,9,3.3. Silvicultura,0.47088158990478363
1700251,2017,11,2.1. Campo Alagado e Área Pantanosa,10.960915870300351
1700251,2017,12,2.2. Formação Campestre,157.4901722079473
1700251,2017,15,3.1. Pastagem,604.92806957844311
1700251,2017,21,3.4. Mosaico de Usos,26.27299556518544
1700251,2017,24,4.2. Área Urbanizada,0.708027415283203
1700251,2017,25,4.4. Outras Áreas não Vegetadas,5.9747398151855613
1700251,2017,3,1.1 Formação Florestal,217.61508655591189
1700251,2017,33,"5.1 Rio, Lago e Oceano",1.1207477143554669
1700251,2017,39,3.2.1.1. Soja,42.376684062132568
1700251,2017,4,1.2. Formação Savânica,833.31871620766015
1700251,2017,41,3.2.1.5. Outras Lavouras Temporárias,5.065115134521518
1700251,2017,9,3.3. Silvicultura,0.4356096072998033
1700251,2018,11,2.1. Campo Alagado e Área Pantanosa,10.983853399414119
1700251,2018,12,2.2. Formação Campestre,152.92128263329971
1700251,2018,15,3.1. Pastagem,608.10263153999927
1700251,2018,21,3.4. Mosaico de Usos,27.482917016540409
1700251,2018,24,4.2. Área Urbanizada,0.71155432348632819
1700251,2018,25,4.4. Outras Áreas não Vegetadas,5.20514782678222
1700251,2018,3,1.1 Formação Florestal,217.90434759943039
1700251,2018,33,"5.1 Rio, Lago e Oceano",1.2636863986816409
1700251,2018,39,3.2.1.1. Soja,55.078763476318287
1700251,2018,4,1.2. Formação Savânica,823.28970853154965
1700251,2018,41,3.2.1.5. Outras Lavouras Temporárias,2.954394206787109
1700251,2018,9,3.3. Silvicultura,0.36859278198242063
1700251,2019,11,2.1. Campo Alagado e Área Pantanosa,11.167411511718811
1700251,2019,12,2.2. Formação Campestre,151.2442153513762
1700251,2019,15,3.1. Pastagem,596.483544104389
1700251,2019,21,3.4. Mosaico de Usos,28.296130423522978
1700251,2019,24,4.2. Área Urbanizada,0.71508123309326166
1700251,2019,25,4.4. Outras Áreas não Vegetadas,4.9962515692138858
1700251,2019,3,1.1 Formação Florestal,218.10028769000581
1700251,2019,33,"5.1 Rio, Lago e Oceano",1.2689867225952149
1700251,2019,39,3.2.1.1. Soja,67.0047319000856
1700251,2019,4,1.2. Formação Savânica,821.71559332491347
1700251,2019,41,3.2.1.5. Outras Lavouras Temporárias,4.9078167056884912
1700251,2019,9,3.3. Silvicultura,0.36682919763183458
1700251,2020,11,2.1. Campo Alagado e Área Pantanosa,11.219443690979061
1700251,2020,12,2.2. Formação Campestre,148.04323858587429
1700251,2020,15,3.1. Pastagem,595.46054405251039
1700251,2020,21,3.4. Mosaico de Usos,27.841901308471641
