cod_ibge,nome,sus_2006,priv_2006,sus_2007,priv_2007,sus_2008,priv_2008,sus_2009,priv_2009,sus_2010,priv_2010,sus_2011,priv_2011,sus_2012,priv_2012,sus_2013,priv_2013,sus_2014,priv_2014,sus_2015,priv_2015,sus_2016,priv_2016,sus_2017,priv_2017,sus_2018,priv_2018,sus_2019,priv_2019
1710508,Itacajá,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
1703602,Brasilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721307,Tupiratins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716653,Pequizeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711803,Juarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710904,Itapiratins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703842,Campos Lindos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705508,Colinas do Tocantins,51,29,51,29,58,16,58,12,59,12,59,12,59,12,59,12,61,12,69,12,69,12,69,0,69,0,69,0
1703206,Bernardo Sayão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702307,Arapoema,24,0,23,0,23,0,23,0,23,0,23,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,28,0
1709005,Goiatins,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
1715705,Palmeirante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714880,Nova Olinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
