ano,sigla_uf,id_municipio,recusa,tipo_administracao,existencia_adm_indireta,tipo_vinculo,escolaridade,quantidade_vinculo
2018,TO,1700350,0,Direta,0,Estatutários,Ensino médio,
2018,TO,1700350,0,Direta,0,Estatutários,Ensino superior,
2018,TO,1700350,0,Direta,0,Estatutários,Pós-graduação,
2018,TO,1700350,0,Direta,0,Celetistas,Total,0
2018,TO,1700350,0,Direta,0,Celetistas,Sem instrução,0
2018,TO,1700350,0,Direta,0,Celetistas,Ensino fundamental,0
2018,TO,1700350,0,Direta,0,Celetistas,Ensino médio,0
2018,TO,1700350,0,Direta,0,Celetistas,Ensino superior,0
2018,TO,1700350,0,Direta,0,Celetistas,Pós-graduação,0
2018,TO,1700350,0,Direta,0,Somente comissionados,Total,44
2018,TO,1700350,0,Direta,0,Somente comissionados,Sem instrução,
2018,TO,1700350,0,Direta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700350,0,Direta,0,Somente comissionados,Ensino médio,
2018,TO,1700350,0,Direta,0,Somente comissionados,Ensino superior,
2018,TO,1700350,0,Direta,0,Somente comissionados,Pós-graduação,
2018,TO,1700350,0,Direta,0,Estagiários,Total,0
2018,TO,1700350,0,Direta,0,Estagiários,Ensino fundamental,0
2018,TO,1700350,0,Direta,0,Estagiários,Ensino médio,0
2018,TO,1700350,0,Direta,0,Estagiários,Ensino superior,0
2018,TO,1700350,0,Direta,0,Estagiários,Pós-graduação,0
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Total,63
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700350,0,Direta,0,Sem vínculo permanente,Pós-graduação,
2018,TO,1700350,0,Indireta,0,Estatutários,Total,
2018,TO,1700350,0,Indireta,0,Estatutários,Sem instrução,
2018,TO,1700350,0,Indireta,0,Estatutários,Ensino fundamental,
2018,TO,1700350,0,Indireta,0,Estatutários,Ensino médio,
2018,TO,1700350,0,Indireta,0,Estatutários,Ensino superior,
2018,TO,1700350,0,Indireta,0,Estatutários,Pós-graduação,
2018,TO,1700350,0,Indireta,0,Celetistas,Total,
2018,TO,1700350,0,Indireta,0,Celetistas,Sem instrução,
2018,TO,1700350,0,Indireta,0,Celetistas,Ensino fundamental,
2018,TO,1700350,0,Indireta,0,Celetistas,Ensino médio,
2018,TO,1700350,0,Indireta,0,Celetistas,Ensino superior,
2018,TO,1700350,0,Indireta,0,Celetistas,Pós-graduação,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Total,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Sem instrução,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Ensino médio,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Ensino superior,
2018,TO,1700350,0,Indireta,0,Somente comissionados,Pós-graduação,
2018,TO,1700350,0,Indireta,0,Estagiários,Total,
2018,TO,1700350,0,Indireta,0,Estagiários,Ensino fundamental,
2018,TO,1700350,0,Indireta,0,Estagiários,Ensino médio,
2018,TO,1700350,0,Indireta,0,Estagiários,Ensino superior,
2018,TO,1700350,0,Indireta,0,Estagiários,Pós-graduação,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700350,0,Indireta,0,Sem vínculo permanente,Pós-graduação,
2019,TO,1700350,0,Direta,0,Estatutários,Total,174
2019,TO,1700350,0,Direta,0,Celetistas,Total,0
2019,TO,1700350,0,Direta,0,Somente comissionados,Total,44
2019,TO,1700350,0,Direta,0,Estagiários,Total,0
2019,TO,1700350,0,Direta,0,Sem vínculo permanente,Total,63
2019,TO,1700350,0,Indireta,0,Estatutários,Total,
2019,TO,1700350,0,Indireta,0,Celetistas,Total,
2019,TO,1700350,0,Indireta,0,Somente comissionados,Total,
2019,TO,1700350,0,Indireta,0,Estagiários,Total,
2019,TO,1700350,0,Indireta,0,Sem vínculo permanente,Total,
2020,TO,1700350,0,Direta,0,Estatutários,Total,189
2020,TO,1700350,0,Direta,0,Celetistas,Total,0
2020,TO,1700350,0,Direta,0,Somente comissionados,Total,36
2020,TO,1700350,0,Direta,0,Estagiários,Total,0
2020,TO,1700350,0,Direta,0,Sem vínculo permanente,Total,64
2020,TO,1700350,0,Indireta,0,Estatutários,Total,
2020,TO,1700350,0,Indireta,0,Celetistas,Total,
2020,TO,1700350,0,Indireta,0,Somente comissionados,Total,
2020,TO,1700350,0,Indireta,0,Estagiários,Total,
2020,TO,1700350,0,Indireta,0,Sem vínculo permanente,Total,
2021,TO,1700350,0,Direta,0,Estatutários,Total,178
2021,TO,1700350,0,Direta,0,Celetistas,Total,0
2021,TO,1700350,0,Direta,0,Somente comissionados,Total,40
2021,TO,1700350,0,Direta,0,Estagiários,Total,0
2021,TO,1700350,0,Direta,0,Sem vínculo permanente,Total,100
2021,TO,1700350,0,Indireta,0,Estatutários,Total,
2021,TO,1700350,0,Indireta,0,Celetistas,Total,
2021,TO,1700350,0,Indireta,0,Somente comissionados,Total,
2021,TO,1700350,0,Indireta,0,Estagiários,Total,
2021,TO,1700350,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700400,0,Direta,0,Estatutários,Total,249
2018,TO,1700400,0,Direta,0,Estatutários,Sem instrução,
2018,TO,1700400,0,Direta,0,Estatutários,Ensino fundamental,
2018,TO,1700400,0,Direta,0,Estatutários,Ensino médio,
2018,TO,1700400,0,Direta,0,Estatutários,Ensino superior,
2018,TO,1700400,0,Direta,0,Estatutários,Pós-graduação,
2018,TO,1700400,0,Direta,0,Celetistas,Total,0
2018,TO,1700400,0,Direta,0,Celetistas,Sem instrução,0
2018,TO,1700400,0,Direta,0,Celetistas,Ensino fundamental,0
2018,TO,1700400,0,Direta,0,Celetistas,Ensino médio,0
2018,TO,1700400,0,Direta,0,Celetistas,Ensino superior,0
2018,TO,1700400,0,Direta,0,Celetistas,Pós-graduação,0
2018,TO,1700400,0,Direta,0,Somente comissionados,Total,36
2018,TO,1700400,0,Direta,0,Somente comissionados,Sem instrução,
2018,TO,1700400,0,Direta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700400,0,Direta,0,Somente comissionados,Ensino médio,
2018,TO,1700400,0,Direta,0,Somente comissionados,Ensino superior,
2018,TO,1700400,0,Direta,0,Somente comissionados,Pós-graduação,
2018,TO,1700400,0,Direta,0,Estagiários,Total,0
2018,TO,1700400,0,Direta,0,Estagiários,Ensino fundamental,0
2018,TO,1700400,0,Direta,0,Estagiários,Ensino médio,0
2018,TO,1700400,0,Direta,0,Estagiários,Ensino superior,0
2018,TO,1700400,0,Direta,0,Estagiários,Pós-graduação,0
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Total,105
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700400,0,Direta,0,Sem vínculo permanente,Pós-graduação,
2018,TO,1700400,0,Indireta,0,Estatutários,Total,
2018,TO,1700400,0,Indireta,0,Estatutários,Sem instrução,
2018,TO,1700400,0,Indireta,0,Estatutários,Ensino fundamental,
2018,TO,1700400,0,Indireta,0,Estatutários,Ensino médio,
2018,TO,1700400,0,Indireta,0,Estatutários,Ensino superior,
2018,TO,1700400,0,Indireta,0,Estatutários,Pós-graduação,
2018,TO,1700400,0,Indireta,0,Celetistas,Total,
2018,TO,1700400,0,Indireta,0,Celetistas,Sem instrução,
2018,TO,1700400,0,Indireta,0,Celetistas,Ensino fundamental,
2018,TO,1700400,0,Indireta,0,Celetistas,Ensino médio,
2018,TO,1700400,0,Indireta,0,Celetistas,Ensino superior,
2018,TO,1700400,0,Indireta,0,Celetistas,Pós-graduação,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Total,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Sem instrução,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Ensino médio,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Ensino superior,
2018,TO,1700400,0,Indireta,0,Somente comissionados,Pós-graduação,
2018,TO,1700400,0,Indireta,0,Estagiários,Total,
2018,TO,1700400,0,Indireta,0,Estagiários,Ensino fundamental,
2018,TO,1700400,0,Indireta,0,Estagiários,Ensino médio,
2018,TO,1700400,0,Indireta,0,Estagiários,Ensino superior,
2018,TO,1700400,0,Indireta,0,Estagiários,Pós-graduação,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700400,0,Indireta,0,Sem vínculo permanente,Pós-graduação,
2019,TO,1700400,0,Direta,0,Estatutários,Total,249
2019,TO,1700400,0,Direta,0,Celetistas,Total,0
2019,TO,1700400,0,Direta,0,Somente comissionados,Total,34
2019,TO,1700400,0,Direta,0,Estagiários,Total,0
2019,TO,1700400,0,Direta,0,Sem vínculo permanente,Total,122
2019,TO,1700400,0,Indireta,0,Estatutários,Total,
2019,TO,1700400,0,Indireta,0,Celetistas,Total,
2019,TO,1700400,0,Indireta,0,Somente comissionados,Total,
2019,TO,1700400,0,Indireta,0,Estagiários,Total,
2019,TO,1700400,0,Indireta,0,Sem vínculo permanente,Total,
2020,TO,1700400,0,Direta,0,Estatutários,Total,246
2020,TO,1700400,0,Direta,0,Celetistas,Total,0
2020,TO,1700400,0,Direta,0,Somente comissionados,Total,44
2020,TO,1700400,0,Direta,0,Estagiários,Total,0
2020,TO,1700400,0,Direta,0,Sem vínculo permanente,Total,27
2020,TO,1700400,0,Indireta,0,Estatutários,Total,
2020,TO,1700400,0,Indireta,0,Celetistas,Total,
2020,TO,1700400,0,Indireta,0,Somente comissionados,Total,
2020,TO,1700400,0,Indireta,0,Estagiários,Total,
2020,TO,1700400,0,Indireta,0,Sem vínculo permanente,Total,
2021,TO,1700400,0,Direta,0,Estatutários,Total,220
2021,TO,1700400,0,Direta,0,Celetistas,Total,0
2021,TO,1700400,0,Direta,0,Somente comissionados,Total,53
2021,TO,1700400,0,Direta,0,Estagiários,Total,0
2021,TO,1700400,0,Direta,0,Sem vínculo permanente,Total,163
2021,TO,1700400,0,Indireta,0,Estatutários,Total,
2021,TO,1700400,0,Indireta,0,Celetistas,Total,
2021,TO,1700400,0,Indireta,0,Somente comissionados,Total,
2021,TO,1700400,0,Indireta,0,Estagiários,Total,
2021,TO,1700400,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700707,0,Direta,0,Estatutários,Total,143
2018,TO,1700707,0,Direta,0,Estatutários,Sem instrução,
2018,TO,1700707,0,Direta,0,Estatutários,Ensino fundamental,
2018,TO,1700707,0,Direta,0,Estatutários,Ensino médio,
2018,TO,1700707,0,Direta,0,Estatutários,Ensino superior,
2018,TO,1700707,0,Direta,0,Estatutários,Pós-graduação,
2018,TO,1700707,0,Direta,0,Celetistas,Total,0
2018,TO,1700707,0,Direta,0,Celetistas,Sem instrução,0
2018,TO,1700707,0,Direta,0,Celetistas,Ensino fundamental,0
2018,TO,1700707,0,Direta,0,Celetistas,Ensino médio,0
2018,TO,1700707,0,Direta,0,Celetistas,Ensino superior,0
2018,TO,1700707,0,Direta,0,Celetistas,Pós-graduação,0
2018,TO,1700707,0,Direta,0,Somente comissionados,Total,53
2018,TO,1700707,0,Direta,0,Somente comissionados,Sem instrução,
2018,TO,1700707,0,Direta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700707,0,Direta,0,Somente comissionados,Ensino médio,
2018,TO,1700707,0,Direta,0,Somente comissionados,Ensino superior,
2018,TO,1700707,0,Direta,0,Somente comissionados,Pós-graduação,
2018,TO,1700707,0,Direta,0,Estagiários,Total,0
2018,TO,1700707,0,Direta,0,Estagiários,Ensino fundamental,0
2018,TO,1700707,0,Direta,0,Estagiários,Ensino médio,0
2018,TO,1700707,0,Direta,0,Estagiários,Ensino superior,0
2018,TO,1700707,0,Direta,0,Estagiários,Pós-graduação,0
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Total,201
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700707,0,Direta,0,Sem vínculo permanente,Pós-graduação,
2018,TO,1700707,0,Indireta,0,Estatutários,Total,
2018,TO,1700707,0,Indireta,0,Estatutários,Sem instrução,
2018,TO,1700707,0,Indireta,0,Estatutários,Ensino fundamental,
2018,TO,1700707,0,Indireta,0,Estatutários,Ensino médio,
2018,TO,1700707,0,Indireta,0,Estatutários,Ensino superior,
2018,TO,1700707,0,Indireta,0,Estatutários,Pós-graduação,
2018,TO,1700707,0,Indireta,0,Celetistas,Total,
2018,TO,1700707,0,Indireta,0,Celetistas,Sem instrução,
2018,TO,1700707,0,Indireta,0,Celetistas,Ensino fundamental,
2018,TO,1700707,0,Indireta,0,Celetistas,Ensino médio,
2018,TO,1700707,0,Indireta,0,Celetistas,Ensino superior,
2018,TO,1700707,0,Indireta,0,Celetistas,Pós-graduação,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Total,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Sem instrução,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Ensino fundamental,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Ensino médio,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Ensino superior,
2018,TO,1700707,0,Indireta,0,Somente comissionados,Pós-graduação,
2018,TO,1700707,0,Indireta,0,Estagiários,Total,
2018,TO,1700707,0,Indireta,0,Estagiários,Ensino fundamental,
2018,TO,1700707,0,Indireta,0,Estagiários,Ensino médio,
2018,TO,1700707,0,Indireta,0,Estagiários,Ensino superior,
2018,TO,1700707,0,Indireta,0,Estagiários,Pós-graduação,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700707,0,Indireta,0,Sem vínculo permanente,Pós-graduação,
2019,TO,1700707,0,Direta,0,Estatutários,Total,140
2019,TO,1700707,0,Direta,0,Celetistas,Total,0
2019,TO,1700707,0,Direta,0,Somente comissionados,Total,44
2019,TO,1700707,0,Direta,0,Estagiários,Total,0
