ano,sigla_uf,id_municipio,recusa,tipo_administracao,existencia_adm_indireta,tipo_vinculo,escolaridade,quantidade_vinculo
2018,TO,1700301,0,Indireta,0,Somente comissionados,Ensino superior,
2018,TO,1700301,0,Indireta,0,Somente comissionados,Pós-graduação,
2018,TO,1700301,0,Indireta,0,Estagiários,Total,
2018,TO,1700301,0,Indireta,0,Estagiários,Ensino fundamental,
2018,TO,1700301,0,Indireta,0,Estagiários,Ensino médio,
2018,TO,1700301,0,Indireta,0,Estagiários,Ensino superior,
2018,TO,1700301,0,Indireta,0,Estagiários,Pós-graduação,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Sem instrução,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Ensino fundamental,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Ensino médio,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Ensino superior,
2018,TO,1700301,0,Indireta,0,Sem vínculo permanente,Pós-graduação,
2019,TO,1700301,0,Direta,0,Estatutários,Total,231
2019,TO,1700301,0,Direta,0,Celetistas,Total,0
2019,TO,1700301,0,Direta,0,Somente comissionados,Total,44
2019,TO,1700301,0,Direta,0,Estagiários,Total,0
2019,TO,1700301,0,Direta,0,Sem vínculo permanente,Total,98
2019,TO,1700301,0,Indireta,0,Estatutários,Total,
2019,TO,1700301,0,Indireta,0,Celetistas,Total,
2019,TO,1700301,0,Indireta,0,Somente comissionados,Total,
2019,TO,1700301,0,Indireta,0,Estagiários,Total,
2019,TO,1700301,0,Indireta,0,Sem vínculo permanente,Total,
2020,TO,1700301,1,Direta,,Estatutários,Total,
2020,TO,1700301,1,Direta,,Celetistas,Total,
2020,TO,1700301,1,Direta,,Somente comissionados,Total,
2020,TO,1700301,1,Direta,,Estagiários,Total,
2020,TO,1700301,1,Direta,,Sem vínculo permanente,Total,
2020,TO,1700301,1,Indireta,,Estatutários,Total,
2020,TO,1700301,1,Indireta,,Celetistas,Total,
2020,TO,1700301,1,Indireta,,Somente comissionados,Total,
2020,TO,1700301,1,Indireta,,Estagiários,Total,
2020,TO,1700301,1,Indireta,,Sem vínculo permanente,Total,
2021,TO,1700301,0,Direta,0,Estatutários,Total,200
2021,TO,1700301,0,Direta,0,Celetistas,Total,0
2021,TO,1700301,0,Direta,0,Somente comissionados,Total,121
2021,TO,1700301,0,Direta,0,Estagiários,Total,0
2021,TO,1700301,0,Direta,0,Sem vínculo permanente,Total,2
2021,TO,1700301,0,Indireta,0,Estatutários,Total,
2021,TO,1700301,0,Indireta,0,Celetistas,Total,
2021,TO,1700301,0,Indireta,0,Somente comissionados,Total,
2021,TO,1700301,0,Indireta,0,Estagiários,Total,
2021,TO,1700301,0,Indireta,0,Sem vínculo permanente,Total,
2018,TO,1700350,0,Direta,0,Estatutários,Total,165
2018,TO,1700350,0,Direta,0,Estatutários,Sem instrução,
2018,TO,1700350,0,Direta,0,Estatutários,Ensino fundamental,
