cod_ibge,ano,mes,acessos_densidade
1702109,2020,12,7.9010366395646
1702109,2021,12,11.866090364842
1702109,2022,12,14.507212450599
1702109,2023,12,29.254937215778
1702109,2024,12,24.36788195688
1702158,2019,12,3.1069994763484
1702158,2020,12,3.1071983428276
1702158,2021,12,1.5368852459016
1702158,2022,12,1.7169373549884
1702158,2023,12,2.0881670533643
1702158,2024,12,2.2591055786077
1702208,2019,12,2.1951287715668
1702208,2020,12,1.4238319048936
1702208,2021,12,3.5299264484729
1702208,2022,12,4.2859828310044
1702208,2023,12,5.7679052572216
1702208,2024,12,5.4931486221955
1702307,2019,12,2.6343519494204
1702307,2020,12,2.7660217654172
1702307,2021,12,2.2306525037936
1702307,2022,12,2.2522522522523
1702307,2023,12,2.0720720720721
1702307,2024,12,1.6387538267603
1702406,2019,12,5.138639159648
1702406,2020,12,5.6578697550788
1702406,2021,12,5.4846695867454
1702406,2022,12,5.511811023622
1702406,2023,12,6.0756294352095
1702406,2024,12,6.6432237217259
1702554,2019,12,2.8676949815338
1702554,2020,12,2.3815909456633
1702554,2021,12,1.81240063593
1702554,2022,12,1.458476321208
1702554,2023,12,7.1150766415008
1702554,2024,12,6.7078552515446
1702703,2019,12,2.635081181794
1702703,2020,12,3.066349458102
1702703,2021,12,3.3342084536624
1702703,2022,12,24.955116696589
1702703,2023,12,11.938958707361
1702703,2024,12,10.906432748538
1702901,2019,12,1.1992619926199
1702901,2020,12,0.92980484315929
1702901,2021,12,1.1103188346745
1702901,2022,12,1.6273630871175
1702901,2023,12,4.0343013057883
1702901,2024,12,1.0128481665573
1703008,2019,12,2.3162040510128
1703008,2020,12,3.0939433714607
1703008,2021,12,1.8935133108361
1703008,2022,12,2.0304568527919
1703008,2023,12,2.0558375634518
1703008,2024,12,2.3781977117881
1703057,2019,12,2.8708133971292
1703057,2020,12,3.0902004454343
1703057,2021,12,2.6163591297163
1703057,2022,12,2.5829175227473
1703057,2023,12,2.5535661872615
1703057,2024,12,3.0560271646859
1703073,2019,12,0.37028969723372
1703073,2020,12,0.3454231433506
1703073,2021,12,0.36379199657608
1703073,2022,12,0.37980339588919
1703073,2023,12,0.67024128686327
1703073,2024,12,1.1204481792717
1703107,2019,12,4.4211647727273
1703107,2020,12,4.2824278888692
1703107,2021,12,3.1928029634856
1703107,2022,12,2.8683450268262
1703107,2023,12,2.6826248452332
1703107,2024,12,2.4211597151577
1703206,2019,12,1.8165507961426
1703206,2020,12,2.023381294964
1703206,2021,12,3.2890290605992
1703206,2022,12,3.4287065500118
1703206,2023,12,3.5942303144952
1703206,2024,12,8.8739573679333
1703305,2019,12,1.4916223947691
1703305,2020,12,2.4361022364217
1703305,2021,12,3.59375
1703305,2022,12,9.2239028018845
1703305,2023,12,8.5544259856186
1703305,2024,12,8.4190385075341
1703602,2019,12,3.9527487505679
1703602,2020,12,4.0705563093623
1703602,2021,12,5.6280954524989
1703602,2022,12,6.838905775076
1703602,2023,12,6.6362715298886
1703602,2024,12,14.037698412698
1703701,2019,12,1.582681462616
1703701,2020,12,1.0871534698315
1703701,2021,12,8.8086642599278
1703701,2022,12,14.412698412698
1703701,2023,12,24.867724867725
1703701,2024,12,24.54128440367
1703800,2019,12,1.1279520620374
1703800,2020,12,0.95677133165174
1703800,2021,12,0.78151837856407
1703800,2022,12,1.0187251382556
1703800,2023,12,1.0963422916465
1703800,2024,12,7.4807584006007
1703826,2019,12,1.6263736263736
1703826,2020,12,2.0577933450088
1703826,2021,12,1.6572176188399
1703826,2022,12,1.6828148903621
1703826,2023,12,1.580826109128
1703826,2024,12,9.2918131592165
1703842,2019,12,0.6425464610518
1703842,2020,12,0.72730799069046
1703842,2021,12,1.703950499762
1703842,2022,12,1.2250086675142
1703842,2023,12,1.5485958627066
1703842,2024,12,1.8321975198302
1703867,2019,12,6.0702875399361
1703867,2020,12,4.9763566764242
1703867,2021,12,2.4449877750611
1703867,2022,12,2.2211130521587
1703867,2023,12,2.0464187671575
1703867,2024,12,2.001446829033
1703883,2019,12,1.1627906976744
1703883,2020,12,0.9604302727622
1703883,2021,12,0.98972211648268
1703883,2022,12,1.0449795547478
1703883,2023,12,0.90867787369378
1703883,2024,12,0.93499554764025
1703891,2019,12,0.53724053724054
1703891,2020,12,0.53268765133172
1703891,2021,12,0.57623049219688
1703891,2022,12,0.69318866787221
1703891,2023,12,0.45207956600362
1703891,2024,12,0.44616299821535
1703909,2019,12,2.4399329484075
1703909,2020,12,3.8037486218302
1703909,2021,12,19.260065288357
1703909,2022,12,42.624303693006
1703909,2023,12,57.375696306994
1703909,2024,12,76.821720902376
1704105,2019,12,1.2392426850258
1704105,2020,12,1.2602179836512
1704105,2021,12,1.6183412002697
1704105,2022,12,2.4401689347724
1704105,2023,12,2.7217268887846
1704105,2024,12,3.1381733021077
1704600,2019,12,2.1337126600284
1704600,2020,12,2.1276595744681
1704600,2021,12,1.9081272084806
1704600,2022,12,1.7321785476349
1704600,2023,12,2.398401065956
1704600,2024,12,2.4952015355086
1705102,2019,12,2.0702070207021
1705102,2020,12,2.731912338637
1705102,2021,12,7.8078078078078
1705102,2022,12,1.6041065126724
1705102,2023,12,1.4757779916586
1705102,2024,12,1.5713387806411
1705508,2019,12,10.94455736224
1705508,2020,12,15.712253493626
1705508,2021,12,6.445920983706
1705508,2022,12,7.0487541261356
1705508,2023,12,6.6281073817661
1705508,2024,12,11.199488277665
1705557,2019,12,2.2258862324815
1705557,2020,12,2.2217650689159
1705557,2021,12,1.6427104722793
1705557,2022,12,1.4297729184188
1705557,2023,12,1.3456686291001
1705557,2024,12,0.91911764705882
1705607,2019,12,3.8246041412911
1705607,2020,12,3.8903841448495
1705607,2021,12,3.8083538083538
1705607,2022,12,15.847697453049
1705607,2023,12,15.77051710831
1705607,2024,12,18.250758341759
1706001,2019,12,3.0780243378669
1706001,2020,12,3.3871253768399
1706001,2021,12,0.94903339191564
1706001,2022,12,3.0013130744701
1706001,2023,12,7.578315513037
1706001,2024,12,8.467815049864
1706100,2019,12,3.2651941281383
1706100,2020,12,2.8167078867821
1706100,2021,12,2.2564667033572
1706100,2022,12,19.117877884163
