numero_distribuicao,ano,mes,ente,sigla_estado,codigo_ente,nome_ente,tipo_distribuicao,substancia,tipo_afetamento,valor,data_criacao
262,2007,10,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1134.8935,2007-08-31
263,2007,10,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,136.409,2007-08-31
263,2007,10,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,136.396,2007-08-31
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,45.708,2007-05-31
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,39.546,2007-03-31
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,36.0945,2007-08-31
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,36.0295,2007-06-30
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,33.618,2007-09-30
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,32.1555,2007-04-30
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,29.3995,2007-07-31
263,2007,10,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,22.2365,2007-02-28
263,2007,10,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,70.5575,2007-08-31
263,2007,10,Município,TO,1721000.0,PALMAS,Produtor,CASCALHO,-,56.446,2007-08-31
263,2007,10,Município,TO,1721000.0,PALMAS,Produtor,SEIXOS,-,14.1115,2007-08-31
264,2007,11,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,469.9955,2007-09-30
264,2007,11,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,892.4825,2007-08-31
264,2007,11,Município,TO,1702109.0,ARAGUAÍNA,Produtor,GNAISSE,-,279.9615,2007-09-30
264,2007,11,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1970.2865,2007-08-31
264,2007,11,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1471.3595,2007-09-30
264,2007,11,Município,TO,1716604.0,PEIXE,Produtor,MINÉRIO DE BERÍLIO,-,2915.042,2007-09-30
266,2007,12,Município,TO,1721000.0,PALMAS,Produtor,ARGILA,-,126.6525,2007-09-30
266,2007,12,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,46.0265,2007-10-31
266,2007,12,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,2288.26,2007-10-31
266,2007,12,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,1992.6465,2007-09-30
266,2007,12,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,7095.959,2007-09-30
266,2007,12,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,3483.2655,2007-10-31
266,2007,12,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,439.075,2007-10-31
266,2007,12,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,218.387,2007-09-30
266,2007,12,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,634.868,2007-09-30
266,2007,12,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,2226.2045,2007-10-31
266,2007,12,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,982.5985,2007-09-30
267,2007,12,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,506.4995,2007-10-31
269,2008,1,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,223.639,2007-11-30
269,2008,1,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,260.039,2007-11-30
269,2008,1,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,1473.2055,2007-10-31
